,x,y,V
118,-2.0,2.3660000000000005,12.355120212101582
119,-2.0,2.4030000000000005,12.324736971009978
120,-2.0,2.4400000000000004,12.293971632066619
121,-2.0,2.4770000000000003,12.262966029516308
122,-2.0,2.5140000000000002,12.2318641685706
123,-2.0,2.551000000000001,12.200811554447675
124,-2.0,2.588000000000001,12.169954502837093
125,-2.0,2.625000000000001,12.13943943528066
126,-2.0,2.662000000000001,12.109412163269734
127,-2.0,2.6990000000000007,12.080017165145295
128,-2.0,2.7360000000000007,12.051396860144477
129,-2.0,2.7730000000000006,12.023690884160239
130,-2.0,2.8100000000000005,11.997035371964412
131,-2.0,2.8470000000000004,11.9715622507839
132,-2.0,2.8840000000000003,11.947398550211066
133,-2.0,2.9210000000000003,11.924665733469066
134,-2.0,2.958000000000001,11.903479055038314
