,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12620,620,1,2007,1000,1241246.1073712148,15313.549285203542,1125,3.414364034623673e-05,425.00042400084806
12530,530,1,1963,1000,1191879.107504215,24631.05257351165,1125,2.042033354768774e-05,643.0006420012841
12531,531,1000,1963,1000,1710.000582001164,24631.05257351165,1125,2.042033354768774e-05,643.0006420012841
12532,532,1,1918,1000,1138274.1045242092,20907.20332231056,1125,2.356157491926217e-05,595.000594001188
12533,533,1000,1918,1000,1550.000421000842,20907.20332231056,1125,2.356157491926217e-05,595.000594001188
12534,534,1,2016,1000,1250562.1065622133,60855.609651684485,1125,8.366660878968708e-06,630.0006290012581
12535,535,1000,2016,1000,2250.0,60855.609651684485,1125,8.366660878968708e-06,630.0006290012581
12536,536,1,1950,1000,1170702.1009522018,40489.25325479535,1125,1.2213412006692172e-05,663.000662001324
12537,537,1000,1950,1000,1605.000478000956,40489.25325479535,1125,1.2213412006692172e-05,663.000662001324
12538,538,1,2042,1000,1281084.1078342155,45236.39423133856,1125,1.1439030860279328e-05,718.000717001434
12539,539,1000,2042,1000,2250.0,45236.39423133856,1125,1.1439030860279328e-05,718.000717001434
12540,540,1,1936,1000,1164080.1100802205,24340.059359939503,1125,2.036629973283515e-05,526.00052500105
12541,541,1000,1936,1000,1617.000487000974,24340.059359939503,1125,2.036629973283515e-05,526.00052500105
12542,542,1,2039,1000,1278131.1082562164,54520.93934359027,1125,9.454903930013534e-06,690.0006890013781
12543,543,1000,2039,1000,2250.0,54520.93934359027,1125,9.454903930013534e-06,690.0006890013781
12544,544,1,1994,1000,1223339.1040892082,20256.44935515824,1125,2.5377845928992983e-05,504.00050300100605
12545,545,1000,1994,1000,2161.001028002056,20256.44935515824,1125,2.5377845928992983e-05,504.00050300100605
12546,546,1,1969,1000,1189652.098527197,65385.46844971032,1125,7.596762570875107e-06,520.000519001038
12547,547,1000,1969,1000,1657.000528001056,65385.46844971032,1125,7.596762570875107e-06,520.000519001038
12548,548,1,1966,1000,1190779.1030292062,15136.66388801398,1125,3.381417356413919e-05,434.00043300086605
12549,549,1000,1966,1000,1752.000626001252,15136.66388801398,1125,3.381417356413919e-05,434.00043300086605
12550,550,1,2030,1000,1264270.1045202091,29274.142036102065,1125,1.7709084646102274e-05,490.00048900097806
12551,551,1000,2030,1000,2250.0,29274.142036102065,1125,1.7709084646102274e-05,490.00048900097806
12552,552,1,2091,1000,1331747.103372207,66465.85679189557,1125,7.925993483477264e-06,509.000508001016
12553,553,1000,2091,1000,2250.0,66465.85679189557,1125,7.925993483477264e-06,509.000508001016
