,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,alpha,tstar
690,1,162,100,261.5713315041221,2.857211100212743,2,1.6160056140670622,1.0924712450324028
691,100,162,100,9.224805577734807,2.857211100212743,2,1.6160056140670622,1.0924712450324028
692,1,170,100,277.9201473484742,3.779751010694634,2,1.3839429312812446,1.032951132737659
693,100,170,100,11.301016269109994,3.779751010694634,2,1.3839429312812446,1.032951132737659
694,1,170,100,277.1706242963863,5.374206402486751,2,1.2199720602365143,1.0005366824735111
695,100,170,100,11.570514400732957,5.374206402486751,2,1.2199720602365143,1.0005366824735111
696,1,180,100,297.9409911546683,8.847179974054095,2,1.1235949375853154,1.0079057637287625
697,100,180,100,11.01886016181279,8.847179974054095,2,1.1235949375853154,1.0079057637287625
698,1,163,100,263.2664632196836,2.656875526388592,2,1.7420309079100513,1.4041652853912152
699,100,163,100,7.727926115547517,2.656875526388592,2,1.7420309079100513,1.4041652853912152
700,1,175,100,290.12265899965223,5.9989216331102835,2,1.1974493163506932,1.0082438556300743
701,100,175,100,13.882217285735294,5.9989216331102835,2,1.1974493163506932,1.0082438556300743
702,1,172,100,282.40403780328245,10.24329025727097,2,1.0973340023147486,1.4846507496559067
703,100,172,100,13.396396768451831,10.24329025727097,2,1.0973340023147486,1.4846507496559067
704,1,166,100,272.28244628114703,4.201744045283598,2,1.310436986569728,1.0079699097643895
705,100,166,100,9.875853904127483,4.201744045283598,2,1.310436986569728,1.0079699097643895
706,1,172,100,279.28232677320784,4.28991883993653,2,1.314010279256228,1.0103726514823426
707,100,172,100,9.843320670682987,4.28991883993653,2,1.314010279256228,1.0103726514823426
708,1,166,100,269.12939423729506,7.0054463880707685,2,1.147688225105191,1.0902657945023166
709,100,166,100,7.9101866963905545,7.0054463880707685,2,1.147688225105191,1.0902657945023166
710,1,176,100,291.42499772939357,2.8308589709750303,2,1.7349877027165659,1.548843973356513
711,100,176,100,15.509397643083643,2.8308589709750303,2,1.7349877027165659,1.548843973356513
712,1,181,100,298.1665620464223,7.559222985607466,2,1.151394398715674,1.0099478024772564
713,100,181,100,11.717133866723863,7.559222985607466,2,1.151394398715674,1.0099478024772564
714,1,183,100,303.9717476930415,8.897416704150816,2,1.1253534524500297,1.0007102459499404
715,100,183,100,13.337168586445326,8.897416704150816,2,1.1253534524500297,1.0007102459499404
716,1,172,100,285.6157925468559,3.899848927828335,2,1.3738723241154533,1.2544572377850203
717,100,172,100,13.383144064707277,3.899848927828335,2,1.3738723241154533,1.2544572377850203
718,1,176,100,286.32163099423246,6.305923911900532,2,1.1845733188987912,1.0369986043873871
719,100,176,100,11.984789736864474,6.305923911900532,2,1.1845733188987912,1.0369986043873871
720,1,178,100,291.84188171660577,5.6123113120118155,2,1.2206039783384575,1.0039069673366032
721,100,178,100,11.21859072541847,5.6123113120118155,2,1.2206039783384575,1.0039069673366032
722,1,173,100,283.22091503859144,6.333184294128727,2,1.1797100093282458,1.000976431944079
723,100,173,100,13.213605943626474,6.333184294128727,2,1.1797100093282458,1.000976431944079
724,1,166,100,267.2773316144358,3.4909997636924492,2,1.422767125345789,1.636957794599569
725,100,166,100,13.276547846333685,3.4909997636924492,2,1.422767125345789,1.636957794599569
726,1,170,100,276.27668422584486,6.065003072295594,2,1.1854860263294573,1.1591095741146797
727,100,170,100,13.840853639845923,6.065003072295594,2,1.1854860263294573,1.1591095741146797
