,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
12724,724,1,119749,100,2393949.74,20275.644644154305,20,4.9327706578581984e-05,1.001
12725,725,100,119749,100,158887.355,20275.644644154305,20,4.9327706578581984e-05,1.001
12726,726,1,122125,100,2441460.572,23035.290274861727,20,4.341378211623251e-05,1.001
12727,727,100,122125,100,106101.06,23035.290274861727,20,4.341378211623251e-05,1.001
12728,728,1,126980,100,2538617.036,24543.884716904668,20,4.074444854611789e-05,8.598
12729,729,100,126980,100,203036.719,24543.884716904668,20,4.074444854611789e-05,8.598
12730,730,1,123396,100,2466986.4,21431.70686593673,20,4.666555796552718e-05,3.981
12731,731,100,123396,100,120920.898,21431.70686593673,20,4.666555796552718e-05,3.981
12732,732,1,120181,100,2402631.449,21626.72034113914,20,4.6243368987378925e-05,1.06
12733,733,100,120181,100,132906.823,21626.72034113914,20,4.6243368987378925e-05,1.06
12734,734,1,118081,100,2360627.647,21683.466890574266,20,4.612155298800817e-05,0.898
12735,735,100,118081,100,105936.415,21683.466890574266,20,4.612155298800817e-05,0.898
12736,736,1,119677,100,2392497.91,33201.442449321,20,3.011213743589477e-05,12.624
12737,737,100,119677,100,82850.62,33201.442449321,20,3.011213743589477e-05,12.624
12738,738,1,120524,100,2409465.804,22155.324369494087,20,4.513915826193449e-05,0.898
12739,739,100,120524,100,126985.253,22155.324369494087,20,4.513915826193449e-05,0.898
12740,740,1,106152,100,2122050.526,19903.80432723158,20,5.024478564780641e-05,0.898
12741,741,100,106152,100,118582.63,19903.80432723158,20,5.024478564780641e-05,0.898
12742,742,1,117164,100,2342272.48,20837.32175735209,20,4.799589949317052e-05,0.898
12743,743,100,117164,100,128642.514,20837.32175735209,20,4.799589949317052e-05,0.898
12744,744,1,110685,100,2212685.173,19606.017649187,20,5.101067942503676e-05,0.898
12745,745,100,110685,100,151063.981,19606.017649187,20,5.101067942503676e-05,0.898
12746,746,1,131748,100,2633920.995,23836.967341462736,20,4.195499074248715e-05,0.898
12719,719,100,128560,100,149275.119,22949.65146871804,20,4.357771447902521e-05,1.001
12718,718,1,128560,100,2570172.549,22949.65146871804,20,4.357771447902521e-05,1.001
12717,717,100,117417,100,124850.62,20477.885098302853,20,4.883925626555219e-05,0.898
12716,716,1,117417,100,2347278.324,20477.885098302853,20,4.883925626555219e-05,0.898
12688,688,1,128168,100,2562344.618,21453.427470241284,20,4.6619674156178624e-05,1.001
12689,689,100,128168,100,113436.719,21453.427470241284,20,4.6619674156178624e-05,1.001
12690,690,1,119608,100,2391134.329,21598.434554991603,20,4.630380095037716e-05,0.898
12691,691,100,119608,100,188906.18,21598.434554991603,20,4.630380095037716e-05,0.898
12692,692,1,104774,100,2094457.165,19101.666304263385,20,5.235627946174343e-05,0.898
12693,693,100,104774,100,123267.09,19101.666304263385,20,5.235627946174343e-05,0.898
