,Unnamed: 0,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
1347,1347,100,885,100,45.296,6.392189128017799,1,0.1629648600715272,0.201
1346,1346,1,885,100,840.098,6.392189128017799,1,0.1629648600715272,0.201
1344,1344,1,1041,100,994.969,8.895523487395863,1,0.1138498671912068,0.267
1313,1313,100,868,100,33.885,11.0763742541418,1,0.0873472120857841,0.712
1312,1312,1,868,100,821.797,11.0763742541418,1,0.0873472120857841,0.712
1311,1311,100,993,100,44.124,7.261347688462099,1,0.1425928919579741,0.245
1278,1278,1,1046,100,1001.001,9.19468428877675,1,0.1097875895327233,0.113
1277,1277,100,940,100,48.493,7.335175482262381,1,0.1400148660007678,0.213
1276,1276,1,940,100,895.702,7.335175482262381,1,0.1400148660007678,0.213
1275,1275,100,870,100,46.579,6.893095028794248,1,0.1488910802611836,0.203
1274,1274,1,870,100,825.427,6.893095028794248,1,0.1488910802611836,0.203
1273,1273,100,872,100,35.641,7.345010938646181,1,0.1384661084322593,0.136
1272,1272,1,872,100,829.4780000000001,7.345010938646181,1,0.1384661084322593,0.136
1271,1271,100,957,100,47.924,9.179589635269808,1,0.1088460011183536,0.492
1270,1270,1,957,100,911.358,9.179589635269808,1,0.1088460011183536,0.492
1269,1269,100,829,100,67.852,6.540318119746469,1,0.1573532969526587,0.226
1268,1268,1,829,100,789.037,6.540318119746469,1,0.1573532969526587,0.226
1267,1267,100,939,100,55.371,7.311858489089643,1,0.140505626499021,0.226
1266,1266,1,939,100,894.544,7.311858489089643,1,0.140505626499021,0.226
1265,1265,100,973,100,51.465,7.029481659260372,1,0.1477389179402006,0.4
1264,1264,1,973,100,930.613,7.029481659260372,1,0.1477389179402006,0.4
1263,1263,100,868,100,44.666,6.7431647964724775,1,0.1526536984004709,0.177
1262,1262,1,868,100,822.072,6.7431647964724775,1,0.1526536984004709,0.177
1261,1261,100,1059,100,62.695,8.03774419797322,1,0.127967059287555,0.486
1260,1260,1,1059,100,1017.855,8.03774419797322,1,0.127967059287555,0.486
1259,1259,100,1054,100,69.82,8.206853472160233,1,0.1248743965206357,0.207
1258,1258,1,1054,100,1010.347,8.206853472160233,1,0.1248743965206357,0.207
1257,1257,100,1106,100,41.635,18.03987964245829,1,0.0532569344868263,0.901
1256,1256,1,1106,100,1062.548,18.03987964245829,1,0.0532569344868263,0.901
1255,1255,100,1036,100,57.41,9.768784935207922,1,0.1025200412694002,0.561
1254,1254,1,1036,100,990.539,9.768784935207922,1,0.1025200412694002,0.561
1253,1253,100,1119,100,84.226,8.593652073469382,1,0.1192907177122381,0.153
1252,1252,1,1119,100,1074.14,8.593652073469382,1,0.1192907177122381,0.153
1279,1279,100,1046,100,46.257,9.19468428877675,1,0.1097875895327233,0.113
1280,1280,1,965,100,921.796,7.383994058875202,1,0.1394316094853498,0.172
1281,1281,100,965,100,36.79,7.383994058875202,1,0.1394316094853498,0.172
1282,1282,1,830,100,785.389,6.969917815085549,1,0.1460104313788324,0.129
1310,1310,1,993,100,947.934,7.261347688462099,1,0.1425928919579741,0.245
1309,1309,100,1091,100,59.728,9.08806720124297,1,0.1117753931050279,0.222
1308,1308,1,1091,100,1049.087,9.08806720124297,1,0.1117753931050279,0.222
1307,1307,100,913,100,40.598,9.375618090059069,1,0.105656010344288,0.618
1306,1306,1,913,100,865.157,9.375618090059069,1,0.105656010344288,0.618
1305,1305,100,857,100,37.186,6.45753217192846,1,0.1601608608685951,0.113
1304,1304,1,857,100,807.607,6.45753217192846,1,0.1601608608685951,0.113
1303,1303,100,1195,100,104.326,9.280494272080585,1,0.1101850573569882,0.181
1302,1302,1,1195,100,1152.364,9.280494272080585,1,0.1101850573569882,0.181
1301,1301,100,793,100,26.396,7.478861737516564,1,0.1337199864983746,0.559
1300,1300,1,793,100,748.266,7.478861737516564,1,0.1337199864983746,0.559
1299,1299,100,905,100,41.852,6.955344095295308,1,0.1481295450607386,0.186
1298,1298,1,905,100,860.154,6.955344095295308,1,0.1481295450607386,0.186
1373,1373,100,862,100,50.834,7.001732057433389,1,0.1460874997229631,0.233
1297,1297,100,1016,100,38.489,9.325106098227916,1,0.1077052804974038,0.563
1295,1295,100,974,100,49.852,8.13569391394653,1,0.1250248570554196,0.551
1294,1294,1,974,100,933.556,8.13569391394653,1,0.1250248570554196,0.551
1293,1293,100,886,100,43.415,6.56981189724477,1,0.1578282720226781,0.297
1292,1292,1,886,100,840.7570000000001,6.56981189724477,1,0.1578282720226781,0.297
1291,1291,100,937,100,44.891,7.359133640582755,1,0.1393663889498809,0.137
1290,1290,1,937,100,889.756,7.359133640582755,1,0.1393663889498809,0.137
1289,1289,100,864,100,39.355,7.110375454952084,1,0.1435739820555323,0.177
1288,1288,1,864,100,822.066,7.110375454952084,1,0.1435739820555323,0.177
1287,1287,100,1009,100,47.923,7.835243238254227,1,0.1310043209823606,0.597
1286,1286,1,1009,100,967.058,7.835243238254227,1,0.1310043209823606,0.597
1285,1285,100,926,100,45.353,7.214926976723478,1,0.1423639318435596,0.152
1284,1284,1,926,100,878.991,7.214926976723478,1,0.1423639318435596,0.152
1283,1283,100,830,100,33.549,6.969917815085549,1,0.1460104313788324,0.129
1296,1296,1,1016,100,969.618,9.325106098227916,1,0.1077052804974038,0.563
1251,1251,100,1027,100,46.608,7.595523202553193,1,0.1360716701747925,0.344
1374,1374,1,1082,100,1035.804,8.136474501331111,1,0.1264183213516347,0.222
1376,1376,1,923,100,881.417,6.862165988199076,1,0.1509437503853155,0.333
1466,1466,1,813,100,772.183,6.295026695213034,1,0.1640712231738952,0.312
1465,1465,100,957,100,39.084,7.530094976569194,1,0.1361638705345631,0.172
1464,1464,1,957,100,912.414,7.530094976569194,1,0.1361638705345631,0.172
1463,1463,100,985,100,38.375,10.784313518735356,1,0.0913867633162736,0.623
1462,1462,1,985,100,938.433,10.784313518735356,1,0.0913867633162736,0.623
1461,1461,100,891,100,35.74,6.494873058569553,1,0.1600491147980017,0.242
1460,1460,1,891,100,844.699,6.494873058569553,1,0.1600491147980017,0.242
1459,1459,100,1007,100,59.653,7.777353735237314,1,0.1320569053293606,0.198
1458,1458,1,1007,100,963.544,7.777353735237314,1,0.1320569053293606,0.198
1457,1457,100,1006,100,55.244,9.557085703585969,1,0.1046660710022927,0.506
1456,1456,1,1006,100,958.328,9.557085703585969,1,0.1046660710022927,0.506
1455,1455,100,899,100,58.454,6.609270290433788,1,0.1571413261820384,0.541
1454,1454,1,899,100,857.139,6.609270290433788,1,0.1571413261820384,0.541
1453,1453,100,885,100,41.415,7.16303633620195,1,0.1428028762688566,0.198
1452,1452,1,885,100,842.199,7.16303633620195,1,0.1428028762688566,0.198
1451,1451,100,939,100,54.281,7.374823879408096,1,0.1390975854007873,0.153
1450,1450,1,939,100,893.223,7.374823879408096,1,0.1390975854007873,0.153
