,nProcessors,nSimulations,nFPT,walltime,MFPT,timer,k,tstar
215,100,215,100,10129.000003000006,12637.759620741137,1125,4.4612163617731565e-05,286.00028500057005
216,1,210,100,134862.01101202203,5814.872073740211,1125,0.00010126478571469064,295.00029400058804
217,100,210,100,7001.0002500005,5814.872073740211,1125,0.00010126478571469064,295.00029400058804
218,1,219,100,142795.00882001763,5580.430566553587,1125,0.00011025467776373609,248.00024700049403
219,100,219,100,9324.000323000646,5580.430566553587,1125,0.00011025467776373609,248.00024700049403
220,1,201,100,123579.0098540197,11633.764688235982,1125,4.560215333496618e-05,287.00028600057203
221,100,201,100,11259.000008000015,11633.764688235982,1125,4.560215333496618e-05,287.00028600057203
222,1,191,100,112485.01001002002,3552.5302988517856,1125,0.00016076367279294567,275.000274000548
223,100,191,100,10146.00002000004,3552.5302988517856,1125,0.00016076367279294567,275.000274000548
224,1,180,100,99585.00948501896,2110.156772409477,1125,0.00028546632808279174,265.00026400052803
225,100,180,100,6936.00018500037,2110.156772409477,1125,0.00028546632808279174,265.00026400052803
226,1,218,100,143016.01016602034,990.2687234607854,1125,0.0016194871728012889,8.000007000014001
227,100,218,100,13511.00001000002,990.2687234607854,1125,0.0016194871728012889,8.000007000014001
228,1,218,100,142064.0092140184,5729.548082040286,1125,0.00010659656850586645,232.000231000462
229,100,218,100,9281.00028000056,5729.548082040286,1125,0.00010659656850586645,232.000231000462
230,1,185,100,106713.01098802198,926.1969161266528,1125,0.0013151091490857466,1.0
231,100,185,100,5702.000076000152,926.1969161266528,1125,0.0013151091490857466,1.0
232,1,221,100,147992.01176702353,10733.261823740291,1125,5.4405035159202005e-05,324.000323000646
233,100,221,100,12623.000247000495,10733.261823740291,1125,5.4405035159202005e-05,324.000323000646
234,1,207,100,129056.00858101716,1686.6448889649218,1125,0.000486187982314751,193.000192000384
235,100,207,100,11308.000057000114,1686.6448889649218,1125,0.000486187982314751,193.000192000384
236,1,215,100,140412.01093702187,5316.454066296775,1125,0.00011469884518466331,272.000271000542
